keys,ru
ACH_NEAR_MISS_50_TOAST,Прошёл в миллиметре — и не поцарапал
ACH_NIGHT_OWL_DESC,Выполните 10 ночных заказов
ACH_NIGHT_OWL_NAME,Ночная сова
ACH_NIGHT_OWL_TOAST,Ночной хозяин спящего курорта
ACH_ORDERS_100_DESC,Выполните 100 заказов
ACH_ORDERS_100_NAME,Ветеран дорог
ACH_ORDERS_100_TOAST,Сотня за плечами — асфальт дрожит
ACH_ORDERS_250_DESC,Выполните 250 заказов
ACH_ORDERS_250_NAME,Легенда Пятигорска
ACH_ORDERS_250_TOAST,Живая легенда пятигорских дорог
ACH_ORDERS_50_DESC,Выполните 50 заказов
ACH_ORDERS_50_NAME,Опытный таксист
ACH_ORDERS_50_TOAST,"Полсотни клиентов, ни одного провала"
ACH_PERFECT_STOP_100_DESC,Совершите 100 идеальных остановок
ACH_PERFECT_STOP_100_NAME,Джентльмен дорог
ACH_PERFECT_STOP_100_TOAST,Плавнее не бывает — чаевые сами в карман
ACH_PERFECT_STOP_30_DESC,Совершите 30 идеальных остановок
ACH_PERFECT_STOP_30_NAME,Мастер торможения
ACH_PERFECT_STOP_30_TOAST,"Пассажир и не заметил, что мы ехали"
ACH_POLICE_FINED_DESC,Получите 5 штрафов от полиции
ACH_POLICE_FINED_NAME,Враг народа
ACH_POLICE_FINED_TOAST,"С ГИБДД лучше дружить, а не дружиться"
ACH_STREAK_10_DESC,Достигните серии из 10 сближений подряд
ACH_STREAK_10_NAME,Невидимка трасс
ACH_STREAK_10_TOAST,Десять призрачных проходов подряд
ACH_STREAK_5_DESC,Достигните серии из 5 сближений подряд
ACH_STREAK_5_NAME,Серийный сближатель
ACH_STREAK_5_TOAST,Пять раз в миллиметре — и ни царапины
ACH_TIPS_5K_DESC,Заработайте 5 000 ₽ чаевых
ACH_TIPS_5K_NAME,Любимец клиентов
ACH_TIPS_5K_TOAST,Курортники не скупятся на чай
CAR_BUSINESS_DESC,Чёрный премиум-седан для VIP-клиентов и быстрой езды
CAR_BUSINESS_NAME,«Бизнес»
CAR_CLASSIC_DESC,Отечественная классика с душой Пятигорска. Проста и душевна!
CAR_CLASSIC_NAME,«Классика» (2107)
CAR_COMFORT_DESC,Удобный и резвый седан повышенной комфортности
CAR_COMFORT_NAME,«Комфорт»
CAR_MINIVAN_DESC,"Вместительный бусик для групп, экскурсий и семейных вылазок"
CAR_MINIVAN_NAME,«Микроавтобус»
CAR_OFFROAD_DESC,Мощный внедорожник — не боится бездорожья и любых пассажиров
CAR_OFFROAD_NAME,«Внедорожник»
CAR_SPORT_DESC,Быстрое двухдверное купе для лихой езды по серпантину
CAR_SPORT_NAME,«Спорт-купе»
CAR_TAXI_DESC,Надежный жёлтый седан для повседневных поездок
CAR_TAXI_NAME,«Пятёрочка»
DISTRICT_CENTER_NAME,Центр
DISTRICT_KURORT_NAME,Курортный
DISTRICT_MASHUK_NAME,Машук
DISTRICT_PRIGOROD_NAME,Привокзальный
DISTRICT_PROVAL_NAME,Провал
DISTRICT_RYNOK_NAME,Рынок «Лира»
DISTRICT_SANATORII_NAME,Санатории
DISTRICT_VOKZAL_NAME,Вокзал
GFX_PRESET_HIGH,Высокое
GFX_PRESET_LOW,Низкое
GFX_PRESET_MEDIUM,Среднее
LANDMARK_CABLE_DESC,Подъёмник на Машук
LANDMARK_CABLE_NAME,Канатная дорога
LANDMARK_CVETNIK_DESC,Парк с фонтаном и гротом
LANDMARK_CVETNIK_NAME,Цветник
LANDMARK_GAZEBO_DESC,Беседка на склоне Машука
LANDMARK_GAZEBO_NAME,Эолова арфа
LANDMARK_GROT_DESC,Каменный грот в парке
LANDMARK_GROT_NAME,Грот Лермонтова
LANDMARK_NARZAN_DESC,Купол галереи с нарзаном
LANDMARK_NARZAN_NAME,Нарзанные ванны
LANDMARK_PROVAL_DESC,Голубое озеро в кратере
LANDMARK_PROVAL_NAME,Озеро Провал
LANDMARK_RYNOK_DESC,Главный рынок города
LANDMARK_RYNOK_NAME,Рынок «Лира»
LANDMARK_TOWER_DESC,Вершина Машука
LANDMARK_TOWER_NAME,Смотровая башня
LANDMARK_VOKZAL_DESC,Вокзал с часами на башне
LANDMARK_VOKZAL_NAME,Ж/д вокзал
MISSION_DOCTOR_DESC,Доктор Соколова опаздывает на обход. Домчите до санатория!
MISSION_DOCTOR_DROP_1,Санаторий «Лесной»
MISSION_DOCTOR_TITLE,Врач в санаторий
MISSION_GRANDMA_DESC,Бабушка Зинаида просит отвезти её на рынок «Лира». Она щедрая!
MISSION_GRANDMA_DROP_1,Рынок «Лира»
MISSION_GRANDMA_TITLE,Бабушка на рынок
MISSION_NIGHT_DESC,Клиент хочет встретить рассвет на Машуке. Ночью платят вдвойне!
MISSION_NIGHT_DROP_1,Смотровая башня
MISSION_NIGHT_TITLE,Ночной рейс на Машук
MISSION_RACE_DESC,Конкурент вызвался наперегонки до вокзала. Успеешь — премия!
MISSION_RACE_DROP_1,Ж/д вокзал
MISSION_RACE_TITLE,Гонка с бомбилой
MISSION_TOUR_DESC,"Туристы хотят увидеть Провал, Эолову арфу и смотровую башню."
MISSION_TOUR_DROP_1,Озеро Провал
MISSION_TOUR_DROP_2,Эолова арфа
MISSION_TOUR_DROP_3,Смотровая башня
MISSION_TOUR_TITLE,Экскурсия по Пятигорску
MOOD_0_LABEL,В ярости
MOOD_1_LABEL,Нервничает
MOOD_2_LABEL,Нормально
MOOD_3_LABEL,Доволен
MOOD_4_LABEL,В восторге
NAME_PASSENGER_01,Арсен
NAME_PASSENGER_02,Магомед
NAME_PASSENGER_03,Заур
NAME_PASSENGER_04,Зинаида Степановна
NAME_PASSENGER_05,Асхат
NAME_PASSENGER_06,Алёна
NAME_PASSENGER_07,Давид
NAME_PASSENGER_08,София
NAME_PASSENGER_09,Мурат
NAME_PASSENGER_10,Доктор Соколова
NAME_PASSENGER_11,Карен
NAME_PASSENGER_12,Тамара
NAME_PASSENGER_13,Ислам
NAME_PASSENGER_14,Виктория
NAME_PASSENGER_15,Артур
NAME_PASSENGER_16,Ольга
NAME_PASSENGER_17,Шамиль
NAME_PASSENGER_18,Сергей
NAME_PASSENGER_19,Батыр
NAME_PASSENGER_20,Руслан
NAME_PASSENGER_21,Аида
NAME_PASSENGER_22,Таймураз
NAME_PASSENGER_23,Светлана Павловна
NAME_PASSENGER_24,Гагик
NAME_PASSENGER_25,Анжела
NAME_PASSENGER_26,Валерий Семёнович
NAME_PASSENGER_27,Аслан
NAME_PASSENGER_28,Марина
NAME_PASSENGER_29,Георгий
NAME_PASSENGER_30,Эльвира
NAME_PASSENGER_31,Амиран
NAME_PASSENGER_32,Ярослав
ORDER_DRUNK_DESC,Может передумать по пути...
ORDER_DRUNK_NAME,Весёлый пассажир
ORDER_GROUP_DESC,Несколько остановок
ORDER_GROUP_NAME,Коллективная
ORDER_NORMAL_DESC,Обычная поездка по городу
ORDER_NORMAL_NAME,Обычная поездка
ORDER_PACKAGE_DESC,Хрупкий груз — без резких движений
ORDER_PACKAGE_NAME,Посылка
ORDER_RACE_DESC,Обгони конкурента у вокзала!
ORDER_RACE_NAME,Гонка с таксистом
ORDER_TOUR_DESC,Покажите клиенту достопримечательности
ORDER_TOUR_NAME,Экскурсия
ORDER_URGENT_DESC,Срочно! Пассажир торопится
ORDER_URGENT_NAME,Срочный заказ
ORDER_VIP_DESC,"Аккуратная езда, без аварий"
ORDER_VIP_NAME,VIP-клиент
QUOTE_DAYNOTE_CRASHES_01,"Ох, стойку пробило... Завтра надо водить аккуратнее."
QUOTE_DAYNOTE_CRASHES_02,"Бампер помят, подвеска гремит... Завтра на СТО первым делом."
QUOTE_DAYNOTE_CRASHES_03,"Ну и денёк, сплошные ямы да столбы... Машину жалко."
QUOTE_DAYNOTE_CRASHES_04,Слишком много аварий за смену... Надо успокоиться и беречь Ладу.
QUOTE_DAYNOTE_GENERAL_01,"Смена закончена. Пора на отдых, завтра снова в путь."
QUOTE_DAYNOTE_GENERAL_02,Неплохой рабочий день. Пятигорск никогда не спит.
QUOTE_DAYNOTE_GENERAL_03,Город затихает. Пора и мне заглушить мотор.
QUOTE_DAYNOTE_GOOD_01,День удался! Пятигорск знает своего водителя!
QUOTE_DAYNOTE_GOOD_02,"Отличная смена! И карман полон, и машина цела."
QUOTE_DAYNOTE_GOOD_03,"Вот это продуктивный день! Весь город объездил, клиенты довольны."
QUOTE_DAYNOTE_GOOD_04,"Шикарная смена! Нарзанная галерея, Провал, вокзал — везде успел!"
QUOTE_DAYNOTE_GOOD_05,"Заработал от души. Машина не подвела, город благодарит!"
QUOTE_DAYNOTE_LOW_EARNED_01,Копейка к копейке... Завтра наверстаю.
QUOTE_DAYNOTE_LOW_EARNED_02,"Слабая смена вышла... Ничего, завтра с утра на вокзале встану."
QUOTE_DAYNOTE_LOW_EARNED_03,Заказов маловато... Зато бензин сэкономил.
QUOTE_DAYNOTE_LOW_EARNED_04,Не густо сегодня. Завтра пораньше выеду на линию.
QUOTE_DIALOG_CRASH_01,"Ой-бай! Шеф, ты права в лотерею выиграл?!"
QUOTE_DIALOG_CRASH_02,"Аккуратнее, дорогой! Печень к капоту прилипла!"
QUOTE_DIALOG_CRASH_03,"Ээ, брат, тормоза проверь!"
QUOTE_DIALOG_CRASH_04,"Осторожнее, мы же не в аттракционе!"
QUOTE_DIALOG_CRASH_05,Мама мия! Капот подмяли! Ты куда смотришь?!
QUOTE_DIALOG_CRASH_06,"Вай, дорогой! Ты столб с деревом перепутал?!"
QUOTE_DIALOG_CRASH_07,Твою ж... У меня чуть челюсть не отвалилась от такого удара!
QUOTE_DIALOG_CRASH_08,"Э, шеф, ты на капот бампер натянул! Смотри куда едешь!"
QUOTE_DIALOG_CRASH_09,"Мамой клянусь, у меня остеохондроз прошел от встряски!"
QUOTE_DIALOG_CRASH_10,"Эй, джигит! У тебя что, руль отстегнулся?!"
QUOTE_DIALOG_DOCTOR_DROPOFF_01,"Спасибо, успели к началу приёма! Крепкого вам здоровья!"
QUOTE_DIALOG_DOCTOR_DROPOFF_02,"Благодарю за оперативность, выручили!"
QUOTE_DIALOG_DOCTOR_DROPOFF_03,Отлично! Здоровья вам и вашим близким!
QUOTE_DIALOG_DOCTOR_DROPOFF_04,Спасибо за оперативность! Профессионально доставили. Всего доброго!
QUOTE_DIALOG_DOCTOR_DROPOFF_05,Благодарю! Успела ровно к началу консилиума. Удачи на дорогах!
QUOTE_DIALOG_DOCTOR_DROPOFF_06,Отлично доехали! Берегите себя и соблюдайте питьевой режим нарзана!
QUOTE_DIALOG_DOCTOR_DROPOFF_07,Большое спасибо! Будьте здоровы и не болейте!
QUOTE_DIALOG_DOCTOR_PICKUP_01,"Быстрее, молодой человек! В санатории пациенты ждут обхода!"
QUOTE_DIALOG_DOCTOR_PICKUP_02,Доктор Соколова спешит! Домчите до санатория!
QUOTE_DIALOG_DOCTOR_PICKUP_03,"Здравствуйте! Опаздываю на консилиум, выручайте!"
QUOTE_DIALOG_DOCTOR_PICKUP_04,Здравствуйте! Врач-терапевт Соколова. Срочный вызов в санаторий «Родник»!
QUOTE_DIALOG_DOCTOR_PICKUP_05,"Командир, поехали скорее! У пациента в физиотерапии консультация!"
QUOTE_DIALOG_DOCTOR_PICKUP_06,"Добрый день! Пожалуйста, кратчайшим путём до курортной больницы."
QUOTE_DIALOG_DOCTOR_PICKUP_07,"Здравствуйте! Опаздываю на обход в кардиологию, домчите оперативно!"
QUOTE_DIALOG_DRUNK_DETOUR_01,"Слушай, брат... передумал! Поехали на Верхний рынок, там кент ждёт!"
QUOTE_DIALOG_DRUNK_DETOUR_02,"Ой, стой! Заедем на заправку за минералкой!"
QUOTE_DIALOG_DRUNK_DETOUR_03,"Слушай, давай на Провал сначала заскочим!"
QUOTE_DIALOG_DRUNK_DETOUR_04,"Не-не-не, давай в хинкальную сначала! Я проголодался!"
QUOTE_DIALOG_DRUNK_DETOUR_05,"Э, стой, шеф! Давай сперва за чебуреками на проспект заскочим!"
QUOTE_DIALOG_DRUNK_DETOUR_06,"Слышь, брат... меняем маршрут! Погнали к кенту в Кисловодск!"
QUOTE_DIALOG_DRUNK_DETOUR_07,"Ой, погоди! Давай у магазина притормозим, минералочки холодненькой возьмем!"
QUOTE_DIALOG_DRUNK_DETOUR_08,"Брат, давай на смотровую заскочим на пять минуток, на огни посмотрим!"
QUOTE_DIALOG_DRUNK_DROPOFF_01,"Ооо, приехали! Братуха, ты лучший таксист на КМВ!"
QUOTE_DIALOG_DRUNK_DROPOFF_02,Держи всё что есть в кармане! Ты настоящий брат!
QUOTE_DIALOG_DRUNK_DROPOFF_03,"От души гульнули! Эй, держи чаевые!"
QUOTE_DIALOG_DRUNK_DROPOFF_04,"Уважаю, брат! В следующий раз только с тобой поеду!"
QUOTE_DIALOG_DRUNK_DROPOFF_05,"Вай, доехали! Братуха, ты не таксист, ты настоящий друг!"
QUOTE_DIALOG_DRUNK_DROPOFF_06,"Держи косарь! Сдачи не надо, гуляем на все!"
QUOTE_DIALOG_DRUNK_DROPOFF_07,"От души, брат! Дай я тебя обниму за такую поездку!"
QUOTE_DIALOG_DRUNK_DROPOFF_08,"Красавчик! Настоящий джигит, уважение тебе от всей души!"
QUOTE_DIALOG_DRUNK_PICKUP_01,"Эээ, бродяга! Музыку погромче сделай! Лезгинка есть?!"
QUOTE_DIALOG_DRUNK_PICKUP_02,"Командир, подкинь до Цветника... или в чебуречную?!"
QUOTE_DIALOG_DRUNK_PICKUP_03,"Ооо, эй, такси! Погнали гулять по Пятигорску!"
QUOTE_DIALOG_DRUNK_PICKUP_04,"Вах, брат мой! Мы с кентами гуляем, поехали прокатишь!"
QUOTE_DIALOG_DRUNK_PICKUP_05,"Эй, таксист! Наливай нарзан, погнали на Машук!"
QUOTE_DIALOG_DRUNK_PICKUP_06,"Эээ, командир! Поехали в хинкальную, нальем по одной за знакомство!"
QUOTE_DIALOG_DRUNK_PICKUP_07,"Вай, такси-макси! Врубай душевную песню, едем на Машук!"
QUOTE_DIALOG_DRUNK_PICKUP_08,"Салам, дорогой! Я сегодня гуляю, подбрось до ближайшего бара!"
QUOTE_DIALOG_DRUNK_PICKUP_09,"Ооо, братуха! Мы с пацанами так посидели! Вези меня домой... или на Провал?!"
QUOTE_DIALOG_DRUNK_PICKUP_10,"Слышь, таксист! А у тебя в машине лезгинка играет?! Погнали танцевать!"
QUOTE_DIALOG_FAST_01,"Вах, вах! Потише, мы же не на истребителе!"
QUOTE_DIALOG_FAST_02,Вот это полёт! Держусь обеими руками!
QUOTE_DIALOG_FAST_03,"Газ прижми немного, на взлёт идем!"
QUOTE_DIALOG_FAST_04,Эй-эй-эй! Я же не в ралли участвую!
QUOTE_DIALOG_FAST_05,"Вай-вай-вай! Потише, дорогой, у меня кепка слетает!"
QUOTE_DIALOG_FAST_06,"Слышь, шеф, мы же не в ралли «Дакар» участвуем!"
QUOTE_DIALOG_FAST_07,"Эй, полегче на педальку! Стрелка спидометра загнулась!"
QUOTE_DIALOG_FAST_08,"Твою ж! Кажется, мы только что преодолели звуковой барьер!"
QUOTE_DIALOG_FAST_09,"Потише, милок! А то душенька в пятки уходит!"
QUOTE_DIALOG_GRANDMA_DROPOFF_01,"Спасибо, сыночек! Держи вот свежий пирожок и чаевые!"
QUOTE_DIALOG_GRANDMA_DROPOFF_02,"Дай бог тебе здоровья, довёз аккуратно!"
QUOTE_DIALOG_GRANDMA_DROPOFF_03,"Ой, храни тебя Господь, сынок! Держи сдачи не надо!"
QUOTE_DIALOG_GRANDMA_DROPOFF_04,"Спасибо, сыночек золотой! Вот тебе яблочко с огорода и чаевые!"
QUOTE_DIALOG_GRANDMA_DROPOFF_05,"Храни тебя Господь, милок! Довёз ровненько, как по маслу!"
QUOTE_DIALOG_GRANDMA_DROPOFF_06,"Спасибо, родненький! Сдачи не надо, на бензин себе оставь!"
QUOTE_DIALOG_GRANDMA_DROPOFF_07,"Дай бог тебе невесту хорошую, сынок! Спасибо за заботу!"
QUOTE_DIALOG_GRANDMA_PICKUP_01,"Ой, сынок, спасибо что остановился! Вези бабушку на рынок «Лира»!"
QUOTE_DIALOG_GRANDMA_PICKUP_02,"Здравствуй, милок! Довези до рынка, пирожков закуплю!"
QUOTE_DIALOG_GRANDMA_PICKUP_03,"Ой, спасибо, добрый человек! Только на кочках не тряси!"
QUOTE_DIALOG_GRANDMA_PICKUP_04,"Ой, сыночек, милый! Довези бабушку до Верхнего рынка, ноженьки болят!"
QUOTE_DIALOG_GRANDMA_PICKUP_05,"Здравствуй, родной! До поликлиники доедем потихонечку?"
QUOTE_DIALOG_GRANDMA_PICKUP_06,"Ой, спасибочки, милок! Поехали ладненько, не спеши только!"
QUOTE_DIALOG_GRANDMA_PICKUP_07,"Здоровья тебе, сынок! До санатория подбросишь бабулю?"
QUOTE_DIALOG_GROUP_DROPOFF_01,От души от всей компании! Удачи на дорогах!
QUOTE_DIALOG_GROUP_DROPOFF_02,"Спасибо, шеф! Разом за всех расплатился!"
QUOTE_DIALOG_GROUP_DROPOFF_03,"Все доехали, отлично!"
QUOTE_DIALOG_GROUP_DROPOFF_04,Вся компания довольна! Удачи на сменах!
QUOTE_DIALOG_GROUP_DROPOFF_05,"Спасибо от всех нас! Поездка супер, всем понравилась!"
QUOTE_DIALOG_GROUP_DROPOFF_06,От души от всей нашей компании! Держи с запасом!
QUOTE_DIALOG_GROUP_DROPOFF_07,"Спасибо, шеф! Все в сборе, никого по дороге не потерял!"
QUOTE_DIALOG_GROUP_DROPOFF_08,"Красавчик, довез всю гурьбу в целости!"
QUOTE_DIALOG_GROUP_PICKUP_01,"Салам! Нас тут компания, поместимся? Погнали!"
QUOTE_DIALOG_GROUP_PICKUP_02,"Привет! Вези нас сначала на вокзал, потом к Цветнику!"
QUOTE_DIALOG_GROUP_PICKUP_03,Здорово! Поехали всей гурьбой на рынок!
QUOTE_DIALOG_GROUP_PICKUP_04,Салам алейкум! До санатория всю нашу семью докатите?
QUOTE_DIALOG_GROUP_PICKUP_05,"Салам алейкум! Нас четверо с баулами с рынка «Лира», влезим?"
QUOTE_DIALOG_GROUP_PICKUP_06,"Привет, шеф! Всю нашу родню до Провала докатишь?"
QUOTE_DIALOG_GROUP_PICKUP_07,"Здорово! Нас тут группа туристов, вези к Эоловой арфе!"
QUOTE_DIALOG_GROUP_PICKUP_08,"Салам! Впятером на заднем сиденье поместимся, или два рейса делать?"
QUOTE_DIALOG_NIGHT_DROPOFF_01,Какой вид на огни города! Вот твоя двойная оплата!
QUOTE_DIALOG_NIGHT_DROPOFF_02,Рассвет прекрасен! Спасибо за отличный рейс!
QUOTE_DIALOG_NIGHT_DROPOFF_03,Ночной Пятигорск с высоты — это что-то! Спасибо!
QUOTE_DIALOG_NIGHT_DROPOFF_04,Спасибо за ночную романтику... Город у подножия гор волшебен!
QUOTE_DIALOG_NIGHT_DROPOFF_05,"Отличный ночной рейс, шеф! Держи ночной тариф с чаевыми!"
QUOTE_DIALOG_NIGHT_DROPOFF_06,Душевно прокатались! Спасибо за тихую музыку и ровный ход.
QUOTE_DIALOG_NIGHT_DROPOFF_07,Красота! Ночной Пятигорск завораживает. Удачи на ночной смене!
QUOTE_DIALOG_NIGHT_PICKUP_01,"Ночной Пятигорск прекрасен... Подними на Машук, встретим рассвет!"
QUOTE_DIALOG_NIGHT_PICKUP_02,"Ночной рейс, шеф! Вези к смотровой площадке!"
QUOTE_DIALOG_NIGHT_PICKUP_03,"Салам, ночью без пробок красота, давай на вершину!"
QUOTE_DIALOG_NIGHT_PICKUP_04,"Ночной Пятигорск так тих... Поехали к Эоловой арфе, посмотрим на огни."
QUOTE_DIALOG_NIGHT_PICKUP_05,"Салам, шеф! Ночные дороги КМВ — это особая атмосфера, погнали кататься."
QUOTE_DIALOG_NIGHT_PICKUP_06,"Добрый вечер. Подними на смотровую Машука, хочется тишины и звезд."
QUOTE_DIALOG_NIGHT_PICKUP_07,"Ночь, прохлада, нарзанный бриз... Вези меня сквозь спящий город!"
QUOTE_DIALOG_NORMAL_DROPOFF_01,"Спасибо, брат! Сдачи не надо, на нарзан оставь!"
QUOTE_DIALOG_NORMAL_DROPOFF_02,"От души, шеф! Отличная поездка."
QUOTE_DIALOG_NORMAL_DROPOFF_03,"Красавчик, довёз в лучшем виде!"
QUOTE_DIALOG_NORMAL_DROPOFF_04,"Вот твоя оплата. Удачи на дорогах, командир!"
QUOTE_DIALOG_NORMAL_DROPOFF_05,"Отличный сервис, 5 звёзд в Яндекс Такси!"
QUOTE_DIALOG_NORMAL_DROPOFF_06,Спасибо за приятную беседу! Удачи!
QUOTE_DIALOG_NORMAL_DROPOFF_07,"От души! Держи пятихатку, сдачи не надо!"
QUOTE_DIALOG_NORMAL_DROPOFF_08,"От души, брат! Держи чаевые, отдохни на славу!"
QUOTE_DIALOG_NORMAL_DROPOFF_09,"Спасибо, командир! Отличная поездка, ровно по ПДД!"
QUOTE_DIALOG_NORMAL_DROPOFF_10,Спасибо огромнейшее! Удачи на дорогах Пятигорска!
QUOTE_DIALOG_NORMAL_DROPOFF_11,"Вай, отлично доехали! Сдачи не надо, братуха!"
QUOTE_DIALOG_NORMAL_DROPOFF_12,"Красавчик, шеф! Пять звёзд и лучший отзыв твой!"
QUOTE_DIALOG_NORMAL_DROPOFF_13,"Спасибо за комфорт, дорогой! Здоровья тебе и машине!"
QUOTE_DIALOG_NORMAL_DROPOFF_14,"Вот спасибо! Держи пятихатку, ты лучший водитель!"
QUOTE_DIALOG_NORMAL_PICKUP_01,"Привет, братуха! Поехали с ветерком!"
QUOTE_DIALOG_NORMAL_PICKUP_02,"Здорово, командир! На Брод спешу, доедем быстро?"
QUOTE_DIALOG_NORMAL_PICKUP_03,Салам алейкум! Правый ряд свободно едет?
QUOTE_DIALOG_NORMAL_PICKUP_04,"Здравствуйте! Поехали, только аккуратно!"
QUOTE_DIALOG_NORMAL_PICKUP_05,"Привет! Ну что, погнали по Пятигорску?"
QUOTE_DIALOG_NORMAL_PICKUP_06,"Салам, брат! Подбрось до Цветника за сотку!"
QUOTE_DIALOG_NORMAL_PICKUP_07,"Добрый день! Подскажите, через проспект Кирова быстро доедем?"
QUOTE_DIALOG_NORMAL_PICKUP_08,"Салам! Яндекс показывает пробки, знаешь объезд?"
QUOTE_DIALOG_NORMAL_PICKUP_09,"О, вовремя приехал! Погнали, а то дождь начинается."
QUOTE_DIALOG_NORMAL_PICKUP_10,"Приветствую! Подбрось до галереи нарзанов, пожалуйста!"
QUOTE_DIALOG_NORMAL_PICKUP_11,"Салам, брат! На проспект Кирова доедем без заторов?"
QUOTE_DIALOG_NORMAL_PICKUP_12,"Здравствуйте, командир! Давайте через Верхний рынок, так короче!"
QUOTE_DIALOG_NORMAL_PICKUP_13,"Салам алейкум! Ну что, поехали, дорогой!"
QUOTE_DIALOG_NORMAL_PICKUP_14,"Здорово, шеф! Выручай, до Цветника быстренько подкати!"
QUOTE_DIALOG_NORMAL_PICKUP_15,"Добрый день! Подскажите, успеем до закрытия нарзанной галереи?"
QUOTE_DIALOG_NORMAL_PICKUP_16,"Салам, брат! Как погода на Машуке сегодня, не знаешь?"
QUOTE_DIALOG_OFFROAD_01,"Шеф, это такси или внедорожник?!"
QUOTE_DIALOG_OFFROAD_02,"Эй, мы же кусты сносим!"
QUOTE_DIALOG_OFFROAD_03,"Осторожней на кочках, спина отвалится!"
QUOTE_DIALOG_OFFROAD_04,"Куда по газону поехал, э?!"
QUOTE_DIALOG_OFFROAD_05,"Вай, шеф! Мы что, по тропам Бештау едем?!"
QUOTE_DIALOG_OFFROAD_06,"Эй-эй-эй! Это же газон санатория, нас же оштрафуют!"
QUOTE_DIALOG_OFFROAD_07,"Осторожнее! Тут же ямы после дождя, подвеску оставишь!"
QUOTE_DIALOG_OFFROAD_08,"Ты куда свернул, командир?! Тут даже ишак не пройдет!"
QUOTE_DIALOG_OFFROAD_09,"Слышь, у меня нарзан в желудке превратился в шампанское!"
QUOTE_DIALOG_PACKAGE_CRASH_01,Ой-ё! Хрупкий груз там в багажнике! Осторожнее!
QUOTE_DIALOG_PACKAGE_CRASH_02,"Эй, там же коробка летает по салону!"
QUOTE_DIALOG_PACKAGE_CRASH_03,"Аккуратнее вези, побьёшь коробку — вычту из оплаты!"
QUOTE_DIALOG_PACKAGE_CRASH_04,Эй-эй-эй! Там же стеклянные бутылки с минералкой бьются!
